Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping days,latitude,longitude
Standard Class,Consumer,Orem,Utah,84057.0,West,Furniture,Furnishings,1044.63,3.0,0.0,240.2649,5.0,40.31,-111.71
Second Class,Consumer,Los Angeles,California,90049.0,West,Office Supplies,Binders,11.648,2.0,0.2,6.8824000000000005,4.0,34.08,-118.49
Second Class,Consumer,Los Angeles,California,90049.0,West,Technology,Phones,90.57,3.0,0.0,11.7741,4.0,34.08,-118.49
Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Furniture,Furnishings,3083.43,7.0,0.5,-1665.0522,4.0,40.01,-75.15
Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,9.618,2.0,0.7,-7.0532,4.0,40.01,-75.15
Standard Class,Consumer,Philadelphia,Pennsylvania,19255.0,East,Furniture,Furnishings,124.2,3.0,0.2,15.525,4.0,39.95,-75.16
Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Envelopes,3.264,2.0,0.2,1.1016,4.0,40.01,-75.15
Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,86.304,6.0,0.0,9.7092,4.0,40.01,-75.15
Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,6.858,6.0,0.7,-5.715,4.0,40.01,-75.15
Standard Class,Consumer,Philadelphia,Pennsylvania,19140.0,East,Office Supplies,Binders,15.76,2.0,0.2,6.8824000000000005,4.0,40.01,-75.15
Standard Class,Home Office,Houston,Texas,77095.0,Central,Office Supplies,Binders,29.472,3.0,0.2,9.9468,4.0,29.91,-95.65
First Class,Corporate,Richardson,Texas,75080.0,Central,Technology,Phones,1097.544,7.0,0.2,123.4737,2.0,32.98,-96.74
First Class,Corporate,Richardson,Texas,75080.0,Central,Furniture,Furnishings,190.92,5.0,0.6,-147.963,2.0,32.98,-96.74
Standard Class,Home Office,Houston,Texas,77041.0,Central,Office Supplies,Binders,113.328,9.0,0.2,35.415,4.0,29.86,-95.58
Standard Class,Consumer,Houston,Texas,77041.0,Central,Furniture,Furnishings,532.3992,3.0,0.32,-46.9764,4.0,29.86,-95.58
Standard Class,Home Office,Houston,Texas,77041.0,Central,Furniture,Furnishings,212.058,3.0,0.3,-15.147,4.0,29.86,-95.58
Standard Class,Home Office,Houston,Texas,77041.0,Central,Technology,Phones,371.168,4.0,0.2,41.7564,4.0,29.86,-95.58
Standard Class,Corporate,Naperville,Illinois,60540.0,Central,Technology,Phones,147.168,4.0,0.2,16.5564,5.0,41.76,-88.15
Standard Class,Corporate,Los Angeles,California,90049.0,West,Office Supplies,Binders,77.88,2.0,0.0,3.894,5.0,34.08,-118.49
Standard Class,Corporate,Melbourne,Florida,32935.0,South,Office Supplies,Binders,95.616,2.0,0.2,9.5616,4.0,28.15,-80.65
First Class,Corporate,Eagan,Minnesota,55122.0,Central,Technology,Phones,45.98,2.0,0.0,19.7714,2.0,44.81,-93.2
First Class,Corporate,Eagan,Minnesota,55122.0,Central,Office Supplies,Binders,17.46,2.0,0.0,8.2062,2.0,44.81,-93.2
Second Class,Consumer,Westland,Michigan,48185.0,Central,Office Supplies,Binders,211.96,4.0,0.0,8.4784,5.0,42.33,-83.38
Standard Class,Consumer,Dover,Delaware,19901.0,East,Technology,Phones,45.0,3.0,0.0,4.95,5.0,39.15,-75.51
Standard Class,Consumer,Dover,Delaware,19906.0,East,Technology,Phones,21.8,2.0,0.0,6.104,4.0,39.15,-75.54
Standard Class,Consumer,New Albany,Indiana,47150.0,Central,Office Supplies,Binders,38.22,6.0,0.0,17.9634,4.0,38.3,-85.82
Standard Class,Consumer,New Albany,Indiana,47150.0,Central,Furniture,Furnishings,89.99,1.0,0.0,17.0981,4.0,38.3,-85.82
Standard Class,Corporate,New York City,New York,10024.0,East,Office Supplies,Binders,15.26,7.0,0.0,6.2566,6.0,40.79,-73.97
Standard Class,Corporate,New York City,New York,10024.0,East,Technology,Phones,1029.95,5.0,0.0,298.6855,6.0,40.79,-73.97
First Class,Consumer,Troy,New York,12180.0,East,Office Supplies,Binders,208.56,6.0,0.0,52.14,1.0,42.73,-73.67
First Class,Consumer,Troy,New York,12180.0,East,Office Supplies,Binders,32.4,5.0,0.0,15.552,1.0,42.73,-73.67
First Class,Consumer,Troy,New York,12180.0,East,Furniture,Furnishings,319.41,5.0,0.1,7.098,1.0,42.73,-73.67
First Class,Consumer,Troy,New York,12180.0,East,Office Supplies,Binders,14.56,2.0,0.0,6.9888,1.0,42.73,-73.67
First Class,Consumer,Troy,New York,12180.0,East,Technology,Phones,30.0,2.0,0.0,3.3,1.0,42.73,-73.67
First Class,Consumer,Troy,New York,12180.0,East,Office Supplies,Binders,48.48,3.770643976020112,0.2,16.362,1.0,42.73,-73.67
First Class,Consumer,Troy,New York,12180.0,East,Office Supplies,Binders,1.68,1.0,0.0,0.84,1.0,42.73,-73.67
Standard Class,Consumer,Los Angeles,California,90189.0,West,Technology,Phones,13.98,2.0,0.0,6.1512,6.0,34.06,-118.25
Standard Class,Consumer,Los Angeles,California,90004.0,West,Office Supplies,Binders,25.824,6.0,0.2,6.8824000000000005,6.0,34.07,-118.31
Standard Class,Consumer,Los Angeles,California,90004.0,West,Office Supplies,Binders,146.73,3.0,0.0,68.9631,6.0,34.07,-118.31
Standard Class,Consumer,Los Angeles,California,90004.0,West,Furniture,Furnishings,79.76,4.0,0.0,22.3328,6.0,34.07,-118.31
Standard Class,Home Office,Chicago,Illinois,60610.0,Central,Furniture,Chairs,182.745,5.0,0.3,-15.2225,5.0,41.91,-87.63
Standard Class,Corporate,Gilbert,Arizona,85234.0,West,Office Supplies,Binders,1113.024,8.0,0.0,111.3024,5.0,33.36,-111.75
Standard Class,Consumer,Gilbert,Arizona,85234.0,West,Technology,Phones,167.968,3.7777777777777777,0.2,62.988,4.0,33.36,-111.75
First Class,Consumer,Springfield,Virginia,22153.0,South,Office Supplies,Binders,75.88,2.0,0.0,35.6636,2.0,38.74,-77.24
Standard Class,Consumer,New York City,New York,10009.0,East,Office Supplies,Binders,4.616,1.0,0.2,1.731,5.0,40.73,-73.98
Standard Class,Consumer,Jackson,Michigan,49201.0,Central,Office Supplies,Binders,19.05,3.0,0.0,8.763,3.0,42.19,-84.3
Standard Class,Consumer,Memphis,Tennessee,38109.0,South,Furniture,Furnishings,831.936,8.0,0.2,7.803599999999999,6.0,35.04,-90.16
Standard Class,Consumer,Memphis,Tennessee,38109.0,South,Furniture,Furnishings,97.04,2.0,0.2,1.213,6.0,35.04,-90.16
Standard Class,Consumer,Memphis,Tennessee,38109.0,South,Office Supplies,Binders,72.784,1.0,0.2,-18.196,6.0,35.04,-90.16
First Class,Corporate,Houston,Texas,77041.0,Central,Office Supplies,Binders,1.248,3.0,0.8,-1.9344,2.0,29.86,-95.58
First Class,Corporate,Houston,Texas,77041.0,Central,Furniture,Furnishings,9.708,3.0,0.6,-5.8248,4.0,29.86,-95.58
First Class,Corporate,Houston,Texas,77041.0,Central,Office Supplies,Binders,27.24,3.0,0.2,2.724,2.0,29.86,-95.58
Second Class,Consumer,Houston,Texas,77299.0,Central,Furniture,Furnishings,19.3,5.0,0.6,-14.475,5.0,29.76,-95.38
First Class,Corporate,Decatur,Alabama,35601.0,South,Office Supplies,Binders,208.16,1.0,0.0,56.2032,3.0,34.57,-86.98
First Class,Corporate,Decatur,Alabama,35601.0,South,Office Supplies,Binders,16.74,3.0,0.0,8.0352,3.0,34.57,-86.98
Standard Class,Consumer,San Francisco,California,94122.0,West,Office Supplies,Binders,14.9,5.0,0.0,4.172,4.0,37.76,-122.48
Standard Class,Consumer,San Francisco,California,94122.0,West,Office Supplies,Binders,21.39,1.0,0.0,6.2031,4.0,37.76,-122.48
Standard Class,Corporate,Durham,North Carolina,27707.0,South,Office Supplies,Binders,200.984,7.0,0.2,62.8075,4.0,35.98,-78.91
First Class,Home Office,Chicago,Illinois,60623.0,Central,Office Supplies,Binders,230.376,3.0,0.2,-48.9549,3.0,41.85,-87.72
Standard Class,Consumer,Columbia,South Carolina,29203.0,South,Furniture,Furnishings,301.96,2.0,0.0,33.2156,2.0,34.1,-81.04
Standard Class,Consumer,Rochester,Minnesota,55901.0,Central,Technology,Phones,19.99,1.0,0.0,6.7966,7.0,44.07,-92.51
Standard Class,Consumer,Rochester,Minnesota,55901.0,Central,Office Supplies,Binders,6.16,2.0,0.0,2.9568,7.0,44.07,-92.51
Second Class,Home Office,Houston,Texas,77095.0,Central,Furniture,Storage,158.368,7.0,0.2,7.803599999999999,5.0,29.91,-95.65
Standard Class,Corporate,Los Angeles,California,90189.0,West,Office Supplies,Binders,20.1,3.0,0.0,6.633,5.0,34.06,-118.25
Standard Class,Corporate,Los Angeles,California,90036.0,West,Technology,Phones,73.584,2.0,0.2,8.2782,5.0,34.06,-118.35
Standard Class,Consumer,Los Angeles,California,90036.0,West,Office Supplies,Binders,26.968,3.770643976020112,0.0,3.1104,5.0,34.06,-118.35
Second Class,Consumer,Minneapolis,Minnesota,55407.0,Central,Furniture,Furnishings,53.34,3.0,0.0,16.5354,5.0,44.94,-93.25
Second Class,Consumer,Minneapolis,Minnesota,55407.0,Central,Office Supplies,Binders,32.96,2.0,0.0,16.1504,4.0,44.94,-93.25
Standard Class,Home Office,Portland,Oregon,97299.0,West,Office Supplies,Binders,26.968,3.770643976020112,0.7,6.8824000000000005,6.0,45.54,-122.61
Second Class,Home Office,New York City,New York,10009.0,East,Furniture,Furnishings,96.53,7.0,0.0,40.5426,4.0,40.73,-73.98
First Class,Consumer,San Francisco,California,94122.0,West,Office Supplies,Binders,51.312,3.0,0.2,17.9592,3.0,37.76,-122.48
Standard Class,Corporate,Saint Paul,Minnesota,55106.0,Central,Office Supplies,Binders,77.88,3.770643976020112,0.0,22.5852,5.0,44.96,-93.05
Standard Class,Home Office,Chicago,Illinois,60610.0,Central,Office Supplies,Binders,64.624,7.0,0.2,22.6184,4.0,41.91,-87.63
Standard Class,Consumer,Chicago,Illinois,60701.0,Central,Technology,Phones,95.976,3.0,0.2,-10.7973,4.0,41.83,-87.68
Standard Class,Home Office,Chicago,Illinois,60610.0,Central,Office Supplies,Binders,1.788,3.0,0.0,-3.0396,4.0,41.91,-87.63
Standard Class,Consumer,Aurora,Colorado,80013.0,West,Technology,Phones,238.896,6.0,0.2,-26.8758,4.0,39.66,-104.77
Standard Class,Consumer,Aurora,Colorado,80013.0,West,Furniture,Furnishings,102.36,3.831979695431472,0.2,-3.8385,4.0,39.66,-104.77
Standard Class,Consumer,Aurora,Colorado,80013.0,West,Office Supplies,Binders,36.882,3.0,0.7,-25.8174,4.0,39.66,-104.77
Standard Class,Consumer,Charlotte,North Carolina,28205.0,South,Technology,Phones,74.112,8.0,0.2,17.6016,5.0,35.22,-80.79
Standard Class,Consumer,Charlotte,North Carolina,28205.0,South,Technology,Phones,27.992,1.0,0.2,25.1916,4.0,35.22,-80.79
Standard Class,Consumer,Charlotte,North Carolina,28299.0,South,Office Supplies,Binders,26.968,1.0,0.0,1.0738,5.0,35.19,-80.83
Standard Class,Home Office,Orland Park,Illinois,60462.0,Central,Technology,Phones,339.96,5.0,0.2,67.992,5.0,41.61,-87.85
Standard Class,Corporate,New York City,New York,10035.0,East,Furniture,Furnishings,41.96,2.0,0.0,10.9096,4.0,40.8,-73.93
Standard Class,Consumer,Urbandale,Iowa,50322.0,Central,Office Supplies,Binders,26.968,2.0,0.0,22.788,7.0,41.63,-93.74
Standard Class,Consumer,Urbandale,Iowa,50322.0,Central,Office Supplies,Binders,27.24,3.770643976020112,0.0,13.3476,7.0,41.63,-93.74
Second Class,Consumer,Columbus,Ohio,43229.0,East,Office Supplies,Binders,40.096,14.0,0.2,14.5348,2.0,40.09,-82.98
Second Class,Consumer,Columbus,Ohio,43229.0,East,Office Supplies,Binders,4.72,2.0,0.2,1.652,4.0,40.09,-82.98
Second Class,Consumer,Columbus,Ohio,43229.0,East,Office Supplies,Binders,23.976,3.0,0.2,7.4925,2.0,40.09,-82.98
Standard Class,Consumer,Seattle,Washington,98103.0,West,Furniture,Furnishings,787.53,3.0,0.0,165.3813,4.0,47.67,-122.34
Standard Class,Corporate,Bristol,Tennessee,37620.0,South,Office Supplies,Binders,157.794,1.0,0.7,-115.7156,4.0,36.56,-82.19
First Class,Consumer,Wilmington,Delaware,19805.0,East,Furniture,Furnishings,182.745,3.0,0.0,18.3456,3.0,39.74,-75.59
First Class,Consumer,Wilmington,Delaware,19805.0,East,Office Supplies,Binders,30.84,4.0,0.0,13.878,3.0,39.74,-75.59
First Class,Consumer,Wilmington,Delaware,19805.0,East,Office Supplies,Binders,226.56,6.0,0.0,63.4368,3.0,39.74,-75.59
First Class,Consumer,Wilmington,Delaware,19805.0,East,Office Supplies,Binders,115.02,9.0,0.0,51.759,3.0,39.74,-75.59
First Class,Consumer,Wilmington,Delaware,19805.0,East,Technology,Phones,167.97,7.0,0.0,19.7316,3.0,39.74,-75.59
Second Class,Home Office,Houston,Texas,77041.0,Central,Furniture,Furnishings,600.558,3.0,0.3,-8.5794,4.0,29.86,-95.58
Standard Class,Consumer,Bloomington,Illinois,61799.0,Central,Furniture,Furnishings,617.7,6.0,0.5,-407.682,5.0,40.47,-88.97
Standard Class,Consumer,Phoenix,Arizona,85099.0,West,Office Supplies,Binders,26.968,2.0,0.7,-1.8308,4.0,33.45,-111.97
Standard Class,Consumer,Phoenix,Arizona,85023.0,West,Office Supplies,Binders,243.992,7.0,0.0,30.499,7.0,33.63,-112.09
Second Class,Consumer,Los Angeles,California,90004.0,West,Furniture,Furnishings,81.424,2.0,0.2,-9.1602,4.0,34.07,-118.31
Second Class,Home Office,Los Angeles,California,90004.0,West,Furniture,Furnishings,238.56,3.0,0.0,7.803599999999999,4.0,34.07,-118.31
First Class,Corporate,Columbus,Ohio,43229.0,East,Office Supplies,Binders,21.456,9.0,0.2,6.9732,3.0,40.09,-82.98
Standard Class,Consumer,Roseville,California,95661.0,West,Office Supplies,Binders,20.04,3.0,0.0,6.8824000000000005,6.0,38.74,-121.25
Standard Class,Consumer,Roseville,California,95661.0,West,Office Supplies,Binders,35.44,1.0,0.0,16.6568,6.0,38.74,-121.25
Standard Class,Consumer,Roseville,California,95661.0,West,Office Supplies,Binders,11.52,4.0,0.0,3.456,6.0,38.74,-121.25
Standard Class,Consumer,Roseville,California,95661.0,West,Furniture,Fasteners,182.745,3.831979695431472,0.0,1.9698,6.0,38.74,-121.25
Standard Class,Consumer,Roseville,California,95661.0,West,Office Supplies,Binders,26.968,3.0,0.2,26.6616,4.0,38.74,-121.25
Standard Class,Consumer,Roseville,California,95747.0,West,Office Supplies,Binders,65.88,6.0,0.0,18.4464,6.0,38.78,-121.37
Standard Class,Consumer,Roseville,California,95661.0,West,Furniture,Furnishings,43.12,14.0,0.0,20.6976,6.0,38.74,-121.25
Second Class,Corporate,Philadelphia,Pennsylvania,19140.0,East,Furniture,Furnishings,82.8,2.0,0.2,10.35,2.0,40.01,-75.15
Standard Class,Corporate,San Francisco,California,94122.0,West,Office Supplies,Binders,8.82,3.0,0.0,2.3814,5.0,37.76,-122.48
Standard Class,Corporate,San Francisco,California,94122.0,West,Office Supplies,Binders,10.86,3.770643976020112,0.0,5.1042,5.0,37.76,-122.48
Standard Class,Corporate,San Francisco,California,94122.0,West,Office Supplies,Binders,143.7,3.0,0.0,68.976,4.0,37.76,-122.48
Standard Class,Consumer,Independence,Missouri,64055.0,Central,Office Supplies,Binders,26.968,3.0,0.0,6.8824000000000005,4.0,39.05,-94.4
Standard Class,Consumer,Pasadena,California,91104.0,West,Office Supplies,Binders,671.93,7.0,0.0,6.8824000000000005,4.0,34.16,-118.12
Standard Class,Home Office,Newark,Ohio,43055.0,East,Furniture,Furnishings,93.888,4.0,0.2,12.9096,6.0,40.06,-82.42
Standard Class,Corporate,Franklin,Wisconsin,53132.0,Central,Technology,Phones,384.45,11.0,0.0,25.1916,4.0,42.88,-88.0
Standard Class,Corporate,Franklin,Wisconsin,53132.0,Central,Furniture,Furnishings,1951.84,8.0,0.0,585.552,4.0,42.88,-88.0
Standard Class,Corporate,Franklin,Wisconsin,53132.0,Central,Office Supplies,Binders,171.55,5.0,0.0,80.6285,4.0,42.88,-88.0
First Class,Home Office,Scottsdale,Arizona,85254.0,West,Office Supplies,Binders,157.92,5.0,0.2,17.766,3.0,33.61,-111.94
First Class,Home Office,Scottsdale,Arizona,85254.0,West,Technology,Phones,203.184,2.0,0.2,15.2388,3.0,33.61,-111.94
First Class,Corporate,San Jose,California,95123.0,West,Office Supplies,Binders,58.38,3.770643976020112,0.0,26.271,2.0,37.23,-121.82
Standard Class,Corporate,San Jose,California,95123.0,West,Office Supplies,Binders,105.52,4.0,0.0,48.5392,2.0,37.23,-121.82
Standard Class,Corporate,San Jose,California,95196.0,West,Office Supplies,Binders,80.88,6.0,0.0,21.0288,2.0,37.33,-121.89
Second Class,Consumer,Seattle,Washington,98115.0,West,Furniture,Chairs,182.745,2.0,0.2,51.4764,5.0,47.68,-122.28
Standard Class,Consumer,Edmond,Oklahoma,73083.0,Central,Office Supplies,Binders,14.62,2.0,0.0,6.8824000000000005,4.0,35.67,-97.41
Standard Class,Consumer,Edmond,Oklahoma,73034.0,Central,Technology,Phones,944.93,7.0,0.0,236.2325,4.0,35.67,-97.41
First Class,Consumer,Los Angeles,California,90045.0,West,Office Supplies,Binders,5.98,1.0,0.0,2.691,4.0,33.95,-118.4
Second Class,Consumer,Philadelphia,Pennsylvania,19134.0,East,Technology,Phones,54.384,2.0,0.2,1.3596,3.0,39.99,-75.11
Standard Class,Consumer,Carlsbad,New Mexico,88220.0,West,Office Supplies,Binders,28.4,5.0,0.0,13.348,4.0,32.4,-104.23
Standard Class,Consumer,Seattle,Washington,98199.0,West,Office Supplies,Binders,27.68,2.0,0.0,9.688,4.0,47.65,-122.4
Standard Class,Consumer,San Antonio,Texas,78207.0,Central,Office Supplies,Binders,9.936,3.0,0.2,2.7324,4.0,29.42,-98.53
Standard Class,Consumer,San Antonio,Texas,78207.0,Central,Technology,Phones,8159.952,8.0,0.4,-1359.992,4.0,29.42,-98.53
Standard Class,Consumer,San Antonio,Texas,78207.0,Central,Office Supplies,Binders,275.928,3.0,0.2,-58.6347,4.0,29.42,-98.53
Standard Class,Consumer,San Antonio,Texas,78207.0,Central,Office Supplies,Binders,32.064,6.0,0.2,6.8136,4.0,29.42,-98.53
Standard Class,Consumer,San Antonio,Texas,78207.0,Central,Office Supplies,Binders,26.968,5.0,0.0,-453.849,4.0,29.42,-98.53
Standard Class,Consumer,San Antonio,Texas,78207.0,Central,Technology,Phones,143.976,3.0,0.2,8.9985,4.0,29.42,-98.53
Standard Class,Consumer,Los Angeles,California,90004.0,West,Office Supplies,Binders,20.94,3.0,0.0,9.8418,4.0,34.07,-118.31
Standard Class,Consumer,Los Angeles,California,90004.0,West,Office Supplies,Binders,110.96,2.0,0.0,53.2608,4.0,34.07,-118.31
Standard Class,Consumer,Los Angeles,California,90004.0,West,Furniture,Furnishings,340.144,7.0,0.2,21.259,4.0,34.07,-118.31
Standard Class,Corporate,Chicago,Illinois,60701.0,Central,Office Supplies,Binders,52.448,2.0,0.8,-131.12,5.0,41.83,-87.68
Standard Class,Corporate,Chicago,Illinois,60623.0,Central,Office Supplies,Binders,20.16,4.0,0.2,6.552,5.0,41.85,-87.72
Second Class,Consumer,Houston,Texas,77036.0,Central,Office Supplies,Binders,97.264,4.0,0.8,-243.16,4.0,29.7,-95.53
Standard Class,Consumer,Newark,Ohio,43055.0,East,Furniture,Furnishings,396.802,7.0,0.3,-11.3372,2.0,40.06,-82.42
Second Class,Consumer,Newark,Ohio,43093.0,East,Office Supplies,Binders,15.88,5.0,0.0,-3.7715,2.0,40.06,-82.42
Standard Class,Home Office,New York City,New York,10009.0,East,Office Supplies,Binders,3.28,1.0,0.0,1.4104,4.0,40.73,-73.98
Second Class,Consumer,Decatur,Illinois,62521.0,Central,Office Supplies,Binders,24.816,2.0,0.0,1.8612,4.0,39.85,-88.93
Second Class,Corporate,Decatur,Illinois,62521.0,Central,Technology,Phones,408.744,3.7777777777777777,0.2,76.6395,4.0,39.85,-88.93
Second Class,Home Office,Monroe,Louisiana,71203.0,South,Technology,Phones,503.96,4.0,0.0,131.0296,5.0,32.51,-92.08
Second Class,Home Office,Monroe,Louisiana,71203.0,South,Technology,Phones,167.97,5.0,0.0,41.986,5.0,32.51,-92.08
Second Class,Home Office,Monroe,Louisiana,71203.0,South,Technology,Phones,29.0,2.0,0.2,7.25,4.0,32.51,-92.08
Standard Class,Consumer,Fairfield,Connecticut,6824.0,East,Office Supplies,Binders,7.16,2.0,0.0,3.4368,4.0,41.13,-73.28
Standard Class,Home Office,Los Angeles,California,90032.0,West,Technology,Phones,176.8,8.0,0.0,22.984,4.0,34.08,-118.17
Standard Class,Corporate,Grand Prairie,Texas,75051.0,Central,Office Supplies,Binders,37.224,3.0,0.2,3.7224,6.0,32.73,-97.0
Standard Class,Corporate,Grand Prairie,Texas,75051.0,Central,Office Supplies,Binders,20.016,3.0,0.2,6.255,6.0,32.73,-97.0
First Class,Home Office,New York City,New York,10035.0,East,Furniture,Furnishings,899.136,4.0,0.2,112.392,2.0,40.8,-73.93
First Class,Home Office,New York City,New York,10035.0,East,Technology,Phones,71.76,6.0,0.0,20.0928,2.0,40.8,-73.93
First Class,Consumer,New York City,New York,10035.0,East,Office Supplies,Binders,26.968,8.0,0.0,24.8832,4.0,40.8,-73.93
Standard Class,Home Office,New York City,New York,10035.0,East,Furniture,Furnishings,626.352,3.0,0.2,46.9764,2.0,40.8,-73.93
First Class,Home Office,New York City,New York,10035.0,East,Office Supplies,Binders,19.9,5.0,0.0,6.8824000000000005,4.0,40.8,-73.93
Standard Class,Corporate,Redlands,California,92374.0,West,Office Supplies,Binders,14.28,7.0,0.0,6.7116,6.0,34.06,-117.17
Standard Class,Consumer,Hamilton,Ohio,45011.0,East,Office Supplies,Binders,26.968,2.0,0.2,1.2038,4.0,39.39,-84.56
Standard Class,Consumer,Hamilton,Ohio,45011.0,East,Office Supplies,Binders,6.048,3.0,0.2,1.5876,4.0,39.39,-84.56
Standard Class,Home Office,Westfield,New Jersey,7090.0,East,Office Supplies,Binders,46.26,3.0,0.0,12.0276,7.0,40.65,-74.34
Standard Class,Corporate,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Binders,2.946,3.770643976020112,0.7,-2.2586,7.0,40.03,-75.12
Standard Class,Corporate,Philadelphia,Pennsylvania,19120.0,East,Office Supplies,Binders,16.056,3.0,0.2,5.8203,7.0,40.03,-75.12
Standard Class,Consumer,Akron,Ohio,44312.0,East,Office Supplies,Binders,21.744,3.0,0.2,6.795,5.0,41.01,-81.44
Standard Class,Consumer,Denver,Colorado,80219.0,West,Furniture,Furnishings,218.75,2.0,0.5,-161.875,2.0,39.7,-105.04
First Class,Consumer,Denver,Colorado,80219.0,West,Office Supplies,Binders,2.6,1.0,0.2,0.2925,2.0,39.7,-105.04
Second Class,Consumer,Dallas,Texas,75220.0,Central,Office Supplies,Binders,66.284,3.770643976020112,0.8,-178.9668,4.0,32.87,-96.88
Standard Class,Corporate,Franklin,Tennessee,37064.0,South,Furniture,Furnishings,35.168,7.0,0.2,9.6712,4.0,35.88,-86.95
Standard Class,Consumer,Whittier,California,90604.0,West,Technology,Phones,444.768,4.0,0.2,44.4768,5.0,33.93,-118.0
Standard Class,Consumer,Saginaw,Michigan,48601.0,Central,Office Supplies,Binders,83.92,4.0,0.0,5.8744,4.0,43.41,-83.94
Standard Class,Consumer,Saginaw,Michigan,48601.0,Central,Technology,Phones,167.97,2.0,0.0,35.6346,6.0,43.41,-83.94
Standard Class,Consumer,Saginaw,Michigan,48601.0,Central,Office Supplies,Binders,52.29,9.0,0.0,16.2099,6.0,43.41,-83.94
Standard Class,Consumer,Saginaw,Michigan,48601.0,Central,Furniture,Storage,91.99,3.831979695431472,0.0,3.6796,4.0,43.41,-83.94
Second Class,Corporate,Dallas,Texas,75220.0,Central,Technology,Phones,167.97,2.0,0.2,6.5,4.0,32.87,-96.88
Standard Class,Corporate,Medina,Ohio,44256.0,East,Office Supplies,Binders,23.68,2.0,0.2,8.88,7.0,41.13,-81.86
